Adolf Klein
Albert von Kersten
Albin Skoda
Aleksandër Moisiu
Alexander Girardi
Alexander Pschill
Alf Poier
Alfred Frauenfeld
Alfred Jerger
Anton Edthofer
Anton Pointner
Attila Hörbiger
August Schmölzer
Franz Pfaudler
Franz Stoss
Fred Liewehr
Fritz Hakl
Fritz Karl
Fritz Muliar
Fritz Richard
Fritz Spira
Helmut Qualtinger
Henrik Galeen
Johann Nestroy
John Wengraf
Leo Connard
Bruno Dallansky
Carl Goetz
Carl Hollitzer
Louis V. Arco
Magnus Stifter
Victor Arnold
Willy Trenk-Trebitsch
Götz Kauffmann
Julius Brandt
Julius Herska
Nikolaus Paryla
Oscar Homolka
Oskar Karlweis
Otto Hartmann
Otto Tausig
Rudolf Steinboeck
Ferdinand Exl
Ferdinand Marian
Ferdinand Raimund
G. W. Pabst
Leopold Kramer
Leopold Rudolf
Max Pallenberg
Max Pohl
Maximilian Steiner
Walter Kohut
Walter Surovy
Emil Lind
Eric Pohlmann
Erich Padalewski
Franz Höbling
Giuseppe Weidmann
Jürgen Maurer
Karl Ehmann
Karl Farkas
Karl Fochler
Karl Forest
Lionel Royce
Michael von Newlinsky
Siegfried Breuer
Sieghardt Rupp
Eduard Köck
Eduard von Winterstein
Egon Brecher
Egon Friedell
Ekkehard Arendt
Ernst Arndt
Ernst Bach
Ernst Haeussermann
Ernst Pröckl
Erwin Dom Osen
Eugen Jensen
Hugo Flink
Hugo Gottschlich
Hugo Thimig
Jaro Fürth
Raoul Aslan
Curd Jürgens
Ludwig Auer
Ludwig Donath
Manfred Inger
Tobias Moretti
Wolf Bachofner
Wolfgang Heinz
Wolfgang von Schwind
Gregor Bloéb
Gregor Seberg
Guido Wieland
Gustav Kadelburg
Hubert Marischka
Josef Jarno
Josef Kainz
Josef Meinrad
Josef Reithofer
Joseph Schildkraut
Karl Merkatz
Karl Paryla
Karl von Marinelli
Klaus Händl
Klaus Pohl
Thomas Smolej
Hans Effenberger
Hans Georg Nenning
Hans Homma
Hans Jaray
Hans Lackner
Hans Olden
Hans Putz
Hans Thimig
Hans Ziegler
Harald Krassnitzer
Heinrich Peer
Heinrich Schweiger
Heinz-Leo Fischer
Herbert Walzl
Hermann Benke
Hermann Brix
Hermann Thimig
Hermann Wlach
Paul Henreid
Paul Löwinger
Paulus Manker
Peter Sturm
Philipp Hochmair
Marek Oravec
Reinhold Häussermann
Robert Freitag
Robert Palfrader
Ulrich Bettac
